cn_title,en_title,strategy,comment,ranking,abstract
厦门海堤纪念公园,Xiamen Haidi Jinian Park,0,6,0,
天湖大厦,,0,0,0,
环岛路烂尾楼,,1,1,0,面朝大海的白色烂尾楼，背景是一览无余的蓝色大海，加上废墟感的简约楼梯，是小众又好看的拍照地，这里又被喻为废墟版纪念碑谷。
悦成老爷车博物馆,A.Change Classic Car Museum,0,5,0,
厦门红点设计博物馆,Xiamen Hongdian Sheji Museum,0,16,0,
凌云玉石博物馆,Lingyunyushi Museum,0,37,0,
舫山儿童公园,Fang Mountain Children Park,0,3,0,
厦门紫云岩,Xiamen Ziyun Rock,0,0,0,
Art.pop泡泡艺术中心,Art.pop Paopao Center,0,14,0,
片仔癀博物馆,Pianzaihuang Museum,0,11,0,
厦门火车站-南广场,,0,10,0,
青礁村院前社,Qingjiao Village Yuanqian Club,0,2,0,
珊瑚礁海洋世界,Shanhujiao Haiyang World,0,36,0,
林文庆别野,Lin Wenqing Villa,0,1,0,
莲福美术馆,Lianfu Gallery,0,0,0,
青礁慈济祖宫-凉亭,"Kiosk, Qingjiao Ciji Ancestral Palace",0,2,0,
三国广场,Sanguo Square,0,0,0,
财富广场,Caifu Square,0,0,0,
奥永广场,Aoyong Square,0,2,0,
东屿堂,Dongyu Church,0,0,0,
林语花溪体验中心,Linyuhuaxi Tiyan Center,0,0,0,
萨本栋广场,Sabendong Square,0,0,0,
厦门吕塘香山,Xiamen Lvtang Xiangshan Mountain,0,0,0,
国际园中心广场,Guojiyuan Center Square,0,0,0,
棋乐广场,Qile Square,0,0,0,
静志寺塔基地宫,Jingzhi Pagoda Base Palace,0,0,0,
画廊旅馆(故驿店),,0,7,0,
庙口老奶奶(龙头路店),,0,0,0,
天衢古道公园(建设中),,0,0,0,
日东公园-音乐广场,Ridong Gongyuan-Yinyue Square,0,0,0,
古楼龙山宫,"Longshan Palace, Gulou",0,0,0,
埭头慈济宫,Daitou Ciji Palace (South Gate),0,0,0,
湖里街道仙岳山激情广场,Huli Residential District Xianyueshan Jiqing Square,0,3,0,
集美始祖墓,Jimei Ancestor Tomb,0,1,0,
崎头妈祖宫,Qitou Mazu Palace,0,0,0,
北大生物园(金尚路),Peking University Biological Park (Jinshang Road),0,0,0,
小坪森林公园-莲花国家森林公园,Xiaoping Senlin Gongyuan-Lianhua National Forest Park,0,0,0,
莲坂村五岳兴莲北山宫,Lianbancun Wuyue Xinglian Beishan Palace,0,0,0,
厦门市集美区后溪镇苏营皇渡庵(皇帝井),"Suying Huangdu Nunnery (Emperor Well), Houxi Town, Jimei District, Xiamen",0,0,0,
甘露寺,Ganlu Temple,0,1,0,
分源宫,Fenyuangong,0,0,0,
太岁殿,Taisui Palace,0,0,0,
正顺宫,Zhengshun Palace,0,0,0,
洪山柄东堂宫,Hongshan Bingdong Tanggong,0,0,0,
厦门儿童公园一期,Xiamen Children's Park Phase I,0,0,0,
红十字文化广场,Hongshizi Culture Square,0,4,0,
坂美公园,Banmei Park,0,0,0,
郎天府宫戏台,Langtianfugong Stage,0,0,0,
天鹅广场,Tian'e Square,0,0,0,
时代广场,Shidai Square,0,1,0,
吕厝保安宫,"Baoan Palace, Lvcuo",0,1,0,
妈祖宫,Mazu Palace,0,0,0,
半岭土地公庙,Banling Earth God Temple,0,1,0,
台湾免税公园,Dadeng Xiaozhen Taiwan Mianshui Park,0,5,0,
濠头社区-文化广场,Haotou Shequ- Culture Square,0,0,0,
汇丰银行职员公寓旧址,Huifeng Yinhang Zhiyuan Gongyu Site,0,5,0,
仔树礼拜堂,Zaishu Chapel,0,0,0,
新区福音堂永升聚会点,Yongsheng Gathering Place of New District Gospel Church,0,0,0,
厦门市鼓浪屿风景名胜区-鼓浪屿码头遗迹,"Gulangyu Wharf Relics, Gulangyu Island Scenic Area, Xiamen City",0,4,0,
厦门金尚法治文化广场,Xiamen Jinshang Fazhi Culture Square,0,0,0,
厦门市航海学会,,0,0,0,
中国交通运输部中国救捞,,0,0,0,
保提教会,Baoti Church,0,0,0,
一善禅,,0,0,0,
英国亚细亚火油公司旧址,,0,1,0,
杏林市民广场,Xinglinshimin Square,0,4,0,
厦门机场-园林广场,Xiamen Jichang-Yuanlin Square,0,24,0,
益城教会,Yicheng Church,0,0,0,
金领广场,Jinling Square,0,0,0,
厦门火车站-北广场,,0,0,0,
七星音乐岛,Seven-Star Music Island,0,0,0,
杏林杏西广场,Xinglinxingxi Square,0,0,0,
水晶森林二期,,0,0,0,
古楼广场,Gulou Square,0,0,0,
湖畔广场,Hupan Square,0,0,0,
首开领翔国际二期-首开花郡,,0,0,0,
停车场山游乐园西南,,0,0,0,
水晶森林一期,,0,0,0,
芸溪廉政文化园,Yunxi Clean Government Culture Park,0,0,0,
安全文化广场,Anquan Culture Square,0,0,0,
幸福广场,Xingfu Square,0,0,0,
人口文化园,Population Cultural Park,0,0,0,
厦门火车站-小广场,,0,0,0,
顶溪头村文化园,Dingxitou Village Cultural Park,0,0,0,
闽王广场,Minwang Square,0,0,0,
孔子广场,Kongzi Square,0,0,0,
旋律广场,Xuanlv Square,0,0,0,
霞梧广场,Xiawu Square,0,0,0,
厦门·集美法治文化苑,"Jimei Legal Culture Garden, Xiamen",0,2,0,
曾营社区月美文化广场,Cengying Shequ Yuemei Culture Square,0,0,0,
风情广场,Fengqing Square,0,0,0,
法治文化苑,Rule of Law Culture Garden,0,0,0,
咖啡公园(湖明店),Coffee Park (Huming Branch),0,0,0,
奥永城市休闲广场停车场(入口),,0,0,0,
定琳院,,0,0,0,
西山郊野公园,Xishanjiaoye Park,0,0,0,
铜钵岩寺,Tongboyan Temple,0,0,0,
龙虎宫,Dragon and Tiger Palace,0,0,0,
地震公园(同安),Dizhen Park (tong'an),0,0,0,
渡桥公园,Duqiao Park,0,0,0,
华侨大学-校史馆,,0,0,0,
如醉初醒,,0,0,0,
张氏宗祠,Ancestral Hall of Family Zhang,0,2,0,
福星宫,Fuxing Palace,0,0,0,
名松生态园,Mingsong Ecological Park,0,0,0,
白头公园,Baitou Park,0,0,0,
211工程院校展示厅-天津大学,211 Gongcheng Yuanxiao Zhanshiting-Tianjin University,0,0,0,
颐和殿,Yihe Palace,0,0,0,
林氏祠堂,Linshi Ancestral Hall,0,0,0,
锦园教堂,Jinyuan Church,0,0,0,
三富翁庙,Temple of Three Rich Men,0,0,0,
游乐设施店,,0,0,0,
金汤宫,,0,1,0,
九朝汇宝美术馆,Dynasty Treasure,0,0,0,
瑞云宫,Ruiyun Palace,0,0,0,
华侨大学华文学院-校史馆,,0,4,0,
龙海宫,Longhai Palace,0,0,0,
友唱,,0,0,0,
智趣儿童乐园,,0,0,0,
关帝庙,Emperor Guan Temple,0,1,0,
路达厨艺文化艺术博物馆,Ludachuyi Culture Art Museum,0,2,0,
林后青龙宫,Linhou Qinglong Palace,0,0,0,
福隆体育公园,Fulongtiyu Park,0,0,0,
寒江雪博物馆,Hanjiangxue Museum,0,0,0,
至善大礼堂,Supreme Good Hall,0,0,0,
六一物语,,0,0,0,
中华将军纪念馆,Zhonghuajiangjun Memorial Hall,0,0,0,
皇隅头圣殿,Huangyutou Imperial Palace,0,0,0,
广福寺,Guangfu Temple,0,2,0,
陈第·沈有容题名石刻,Stone Inscription with Chen Di &amp; Shen yourong’s Headings,0,0,0,
友唱,,0,0,0,
法师楼,,0,0,0,
厦门人防科普长廊,Xiamen Civil Air Defense Science Corridor,0,0,0,
阮旻锡夕阳寮隐居处遗址,Ruanminxi Xiyangliao Yinjuchu Ruins,0,0,0,
友唱,,0,0,0,
慈济北宫,Ciji North Palace,0,0,0,
郑成功读书处,Childhood Residence of Zheng Chenggong,0,0,0,
厦港龙珠殿,Xiagang Dragon Ball Palace (formerly known as Diaocao Palace),0,1,0,
植物园科普展馆,Science Popularization Exhibition Hall of Botanical Garden,0,14,0,
朝宗宫,Chaozong Palace,0,0,0,
大航海时代与鼓浪屿-西洋古文献特展,,0,0,0,
陈金方故居,Chenjinfang Former Residence,0,0,0,
闽台中医药博物馆,Mintaizhongyiyao Museum,0,1,0,
厦门禅心书画院,,0,0,0,
琇源科技3d艺术质感涂料(同安区总代理),,0,0,0,
叶郡马墓,Ye Junma Tomb,0,0,0,
兴贤宫行宫,Gulangyu Xingxian Palace （East Gate）,0,2,0,
蔡献臣墓,Cai Xianchen’s Tomb,0,0,0,
关帝庙,Emperor Guan Temple,0,0,0,
长兴庙,Changxing Temple,0,0,0,
北山公园,Bei Mountain Park,0,0,0,
轮机,Turbine,0,0,0,
鞋神遗址(埭头店),Xieshen Ruins (daitou),0,0,0,
仙帝庙,Xiandi Temple,0,0,0,
敬礼,,0,0,0,
大梦想5号,,0,0,0,
小东山龙会宫,Longhui Palace,0,0,0,
龙惠宫,Longhui Palace,0,0,0,
后浦戏台,Houpu Stage,0,0,0,
东山岩,Dongshanyan Temple,0,0,0,
美女土楼·木雕博物馆,Meinv Tulou·mudiao Museum,0,0,0,
游乐设施,,0,0,0,
翻斗乐儿童乐园,,0,0,0,
亿儿乐儿童乐园,,0,0,0,
厦门海沧玛瑙博物馆,Xiamenhaicangmanao Museum,0,0,0,
霞阳市民公园,Xiayangshimin Park,0,0,0,
友唱,,0,0,0,
教体艺,,0,0,0,
优贝盛,,0,0,0,
迷鹿公园,Milu Park,0,0,0,
仙鹤楼,Xianhe Pavilion,0,0,0,
永济宫,Yongji Palace,0,0,0,
洪厝公园,Hongcuo Park,0,0,0,
保生大帝,,0,0,0,
镇安宫,Zhen'an Palace,0,0,0,
凯9台球会所,,0,0,0,
裕鑫古物馆a展区,"Exhibition Area A, Yuxin Antiquities Museum",0,0,0,
东山胜境,Dongshan Scenic Spot,0,0,0,
西班首寮,,0,0,0,
澎湖阵亡将士祠碑,Memorial Tablet for Fallen Officers and Soldiers in Penghu,0,0,0,
诚爱公园,Cheng'ai Park,0,2,0,
同文观音堂,Tongwen Guanyin Hall,0,0,0,
佛教居士林,Buddhist Lodge,0,0,0,
真耶稣教会厦港堂,,0,0,0,
忠仑神霄宫妈祖庙,"Mazu Temple, Shenxiao Palace, Zhonglun",0,0,0,
集福堂,,0,1,0,
ROCKPARK摇滚公园,Rockpark Yaogun Park,0,1,0,
友唱,,0,0,0,
友唱,,0,0,0,
Luck Star2,Luck Star2,0,0,0,
湖里人口文化园,Huli Population Cultural Park,0,0,0,
在自观,,0,0,0,
印合堂,,0,0,0,
佛字岩,Buddha Rock,0,3,0,
强食公园,Qiangshi Park,0,1,0,
龙头山寨遗址,Longtoushanzhai Ruins,0,7,0,
龙湫庵,Longqiu Nunnery,0,2,0,
孙中山塑像,Statue of Sun Yat-sen,0,0,0,
石仓玉禀宫,,0,0,0,
代天府,Daitian Mansion,0,0,0,
伽蓝殿,Qielandian,0,1,0,
贝美嘉儿童乐园,,0,0,0,
基督教官浔堂,Christian Guanxun Church,0,0,0,
双圳头基督教堂,Shuangzhentou Christ Church,0,0,0,
拱辰庙,Gongchen Temple,0,0,0,
厦门银同天后宫,"Yintong Thean Hou Temple, Xiamen",0,1,0,
古龙产品体验中心,Gulong Chanpin Tiyan Center,0,0,0,
怀远公园,Huaiyuan Park,0,0,0,
昭塘观音寺,Zhaotangguanyin Temple,0,2,0,
慈悲堂,Mercy Hall,0,0,0,
哈动园,,0,0,0,
前场社区公园,Qianchangshequ Park,0,0,0,
霞阳植德堂,Xiayang Zhide Hall,0,0,0,
佛祖山社区公园,Fozushan Shequ Park,0,0,0,
内茂社区公园,Neimaoshequ Park,0,0,0,
新阳人口文化园,Xinyang Population Cultural Park,0,0,0,
真耶稣教会杏北教堂,Zhen Yesu Jiaohui Xingbei Church,0,0,0,
天龙寺,Tianlong Temple,0,0,0,
海沧后柯关帝庙,"Emperor Guan Temple, Houke Village, Haicang District",0,0,0,
厦门市湖里区公园管理中心灯塔公园,Xiamenshi Huliqu Gongyuan Guanli Zhongxin Dengta Park,0,0,0,
王公宫,Wanggong Palace,0,0,0,
颍川衍派,,0,0,0,
文化墙,Culture Wall,0,0,0,
五岭仙灵阁,"Xianling Pavilion, Wuling",0,0,0,
洞炫宫,Dongxuan Palace,0,0,0,
晋竹寺,Jinzhu Temple,0,0,0,
贝美嘉儿童乐园(前埔店),,0,0,0,
哆唻咪儿童乐园,,0,0,0,
湖边公园,Hubian Park,0,8,0,
雁塔敬贤堂,Yanta Jingxian Hall,0,0,0,
西河祠堂,Xihe Ancestral Hall,0,1,0,
连心园,Lianxinyuan,0,0,0,
陈嘉庚与青年学生群雕,Statues of Tan Kah Kee and Young Students,0,0,0,
能仁寺,Nengren Temple,0,0,0,
厦门海沧南海观音阁,"South Sea Guanyin Pavilion, Haicang, Xiamen",0,0,0,
厦门消防科技教育馆,Xiamen Fire Science and Technology Education Museum,0,0,0,
厦门海关新关关署遗址,Xiamen Haiguan Xinguan Guanshu Ruins,0,1,0,
快乐学习博物馆小班授课校区,,0,0,0,
水陆北宫·灵山寺,Shuilu Beigong·ling Mountain Temple,0,0,0,
凤山宫,,0,0,0,
长园社仙祖庵,,0,0,0,
王氏家庙,Temple of Family Wang,0,0,0,
黄克立先生纪念室,,0,0,0,
张氏祠堂,Zhangshi Ancestral Hall,0,1,0,
嘻哆哆儿童乐园,,0,0,0,
苏州苏苑-凉亭,,0,0,0,
集美大学印斗校区北区-基石,"Cornerstone, North District, Yindou Campus, Jimei University",0,0,0,
后河堂基督教,Christian Houhe Church,0,0,0,
帝君庙,Emperor Temple,0,0,0,
霞露正一宫(玄壇宫),Xialu Zhengyi Palace (Xuantan Palace),0,0,0,
翔安区广明寺,Xiang'anqu Guangming Temple,0,0,0,
基督教埭头堂,Christian Daitou Church,0,0,0,
哆哆儿童乐园,,0,0,0,
福济殿,,0,0,0,
路过移动人文空间,,0,0,0,
妙莲寺,Miaolian Temple,0,5,0,
西潘六角池公园,Xipan Liujiaochi Park,0,0,0,
会福殿,Huifu Palace,0,0,0,
青鸟,,0,0,0,
玉石博物馆,Yushi Museum,0,1,0,
深青古驿站,Shenqing Ancient Post,0,0,0,
保安殿,Baoan Palace,0,2,0,
威灵殿,Weiling Palace,0,0,0,
坂尾池王府,Banweichi Prince Palace,0,0,0,
圣诞祈福之旅主办方,,0,0,0,
QQ手工坊,,0,0,0,
财神宫,God of Fortune Palace,0,0,0,
厦门市信息消费体验厅,Xiamen Information Consumption Experience Hall,0,0,0,
金尚公园,Jinshang Park,0,6,0,
母子铜像,Bronze Statue of Mother and Son,0,0,0,
台湾财神爷堂,"God of Fortune Hall, Taiwan",0,0,0,
昊天玉皇宫,Haotian Jade Emperor Palace,0,4,0,
龙湫亭,Longqiu Pavilion,0,1,0,
天主教堂(临时),Tianzhu Church (linshi),0,0,0,
白鹭洲公园东公园,Bailuzhou Gongyuan Dong Park,0,3,0,
天天哈乐儿童游乐园,,0,0,0,
Lai-baby,Lai-baby,0,0,0,
厦门市湖边社福庆宫,"Fuqing Palace, Huli District, Xiamen",0,0,0,
涌泉宫,Yongquan Palace,0,1,0,
安武关帝庙,"Emperor Guan Temple, Anwu",0,0,0,
东门纪念碑,East Gate Monument,0,1,0,
长兴宫,Changxing Palace,0,0,0,
多浆植物展馆,Pulpy Plants Exhibition Hall,0,0,0,
禾济宫,Heji Palace,0,0,0,
如意寮,Ruyi Dwelling,0,0,0,
信园,,0,0,0,
云塔寺,Yunta Temple,0,0,0,
妈祖宫,Mazu Palace,0,0,0,
欣奇儿童乐园,,0,0,0,
地藏殿,,0,0,0,
乐羊羊儿童天地,,0,0,0,
亭仔庵,Tingzai Nunnery,0,0,0,
奇乐儿(厦门瑞景店),,0,0,0,
洪氏祖陵,Ancestral Mausoleum of Family Hong,0,0,0,
南京夫子庙,Nanjing Confucius Temple,0,9,0,
犁园,Liyuan Scenic Area,0,0,0,
跳公园,Tiao Park,0,0,0,
洪坑社万应宫,Hongkengshe Wanying Palace,0,0,0,
林菽庄伊豆酥,,0,0,0,
三老肉脯干（鼓浪屿旗舰店）,,0,0,0,
老虎城三楼新食尚文化美食城广场,Laohucheng San Lou Xinshishang Wenhua Meishicheng Square,0,0,0,
三和宫记摩崖石刻,Epigraphy on the Restoration of the Sanhe Taoist Temple,0,9,0,
厦门归侨史迹馆,GuiQiao ShiJiGuan,0,0,0,
厦门王将文化艺术展览馆,WangJiang WenHua YiShu ZhanLanGuan,0,0,0,
厦门市建设成就展示厅,XiaMenShi JianShe ChengJiu ZhanShiTing,0,0,0,
五通灯塔足球训练场,,0,0,0,
全明星蜡像群展,,0,0,0,
蔡天安画廊,,0,0,0,
厦门文化婚俗展览馆,Xiamen Wenhua Hunsu Exhibition hall (feiwenhuayichan),0,0,0,
钟山剧场,,0,0,0,
华荟极地美术,,0,0,0,
环亚室内设计公司,,0,0,0,
东方红画艺,,0,0,0,
街区24小时自助图书馆,,0,0,0,
坂上蓝球场,,0,0,0,
东山蓝球场,,0,0,0,
童画少儿美术馆,,0,0,0,
多福居船木艺术馆,,0,0,0,
随安古美术馆,Sui'angu Art Gallery,0,5,0,
厦门市园建园林有限公司,,0,0,0,
集美区24小时自助图书馆,,0,0,0,
纺织社区书院,,0,0,0,
思明区24小时自助图书馆,,0,0,0,
集美区24小时自助图书馆,,0,0,0,
明德英文图书馆,,0,0,0,
湖里区24小时自助图书馆,,0,0,0,
下坂戏剧场,,0,0,0,
圣格尔画廊,,0,0,0,
阿兰诺画廊,,0,0,0,
添彩画廊,,0,0,0,
思明区24小时自助图书馆,,0,0,0,
无界限青少年剧场(思明剧场),,0,0,0,
印象五号·石文化艺术馆,,0,0,0,
径美画廊,,0,0,0,
臻品艺术馆,Zhenpin Art Museum,0,0,0,
祥风画廊,,0,0,0,
支点画廊,,0,0,0,
彩艺空间画廊,,0,0,0,
哲福画廊,,0,0,0,
吉萃画廊,,0,0,0,
永良奇石馆,,0,0,0,
客家缘球场(小炒店),,0,0,0,
木子李画廊,,0,0,0,
曾美莲画廊,,0,0,0,
浙西画廊,,0,0,0,
高远艺术馆,,0,0,0,
壹笔画廊,,0,0,0,
中国思健蜂主题健康科技馆,Sijian Bee Theme Health Science and Technology Museum of China,0,0,0,
扎克仪器技术有限公司,,0,0,0,
渊轩画廊,,0,0,0,
千江月画廊,,0,0,0,
柒宝斋,,0,0,0,
豪凯鑫画廊,,0,0,0,
奕金画廊,,0,0,0,
泉舜艺术馆,,0,0,0,
优尔美画廊,,0,0,0,
博古性文化馆,Bogu Sex Culture Museum,0,0,0,
蒋伯伯,,0,0,0,
马士基,,0,0,0,
上街上饮,,0,0,0,
球场会馆餐厅,,0,0,0,
爱家生活馆,,0,0,0,
来厦员工图书馆,,0,0,0,
少儿英语培训-原版美国教材,,0,0,0,
伯雅书画展览馆,,0,0,0,
番子澳,,0,0,0,
Up-game,Up-game,0,0,0,
程强开心游乐园,,0,0,0,
变形金刚30周年展,,0,0,0,
伴学童儿童淘气乐园,,0,0,0,
奇幻_不思议3D奇幻艺术画展,,0,0,0,
陈嘉庚纪念胜地景区,,0,0,0,
丹心卓艺画苑,,0,0,0,
瀚画廊,,0,0,0,
涂途画苑,,0,0,0,
染,,0,0,0,
上上品家居艺术馆,,0,0,0,
罗宾森3d画展,,0,9,0,
弘慈书画苑,,0,0,0,
四合书画苑,,0,0,0,
军事博物馆,Junshi Museum,0,0,0,
邓丽君诞辰60周年纪念特展,,0,0,0,
纯真博物馆,Chunzhen Museum,0,0,0,
华美家具艺术馆,,0,0,0,
波比足球俱乐部,,0,0,0,
蜂道文化馆,,0,0,0,
上古博物馆,Shanggu Museum,0,0,0,
蜂道文化馆,,0,0,0,
sugar社交油画,,0,0,0,
圣达辉画廊,,0,0,0,
忆宝斋陈设艺术馆,,0,0,0,
天鹅湖文化艺术馆,,0,0,0,
汇友户外·穿越万石植物园,Huiyouhuwai·chuanyuewanshi Botanical Garden,0,11,0,
立林画廊,,0,0,0,
宝树轩书画院,,0,0,0,
中沧艺博艺术馆,,0,0,0,
刻章博物馆,Kezhang Museum,0,6,0,
大洋美术馆,,0,0,0,
海沧油画城,Haicang Oil Painting Town,0,0,0,
领军之韵红木艺术馆,,0,0,0,
阿特斯文化艺术馆金尚馆,,0,0,0,
厦港街道鸿山社区图书阅览室,,0,0,0,
沧海油画村,Canghai Oil Painting Village,0,0,0,
闽台书画院,,0,0,0,
台湾画院,,0,0,0,
翔兴怡游乐,,0,0,0,
吾得馨画行,,0,0,0,
东孚城市规划展示馆,Dongfu Urban Planning Exhibition Hall,0,0,0,
笔架山,Bijiashan Mountain,0,1,0,
两岸金融中心展馆,Exhibition Hall of Cross-Strait Financial Center,0,0,0,
艺峰书画院,,0,0,0,
梧村影剧院,,0,0,0,
少年先锋队队歌广场,Shaonian Xianfengdui Dui Ge Square,0,0,0,
大屏山郊野公园,Dapingshan Jiaoye Park,0,33,0,
水源宫,Shuiyuan Temple,0,1,0,
凤山庵,,0,0,0,
福源宫,Fuyuan Palace,0,0,0,
仙岳山土地宫,Xianyueshan Tudigong,0,9,0,
基督教寨上堂,Christian Zhaishang Church,0,4,0,
基督教钟宅堂,Christianity Zhongzhai Church,0,0,0,
高林公园,Gaolin Park,0,5,0,
国贸凤凰园,International Trade Phoenix Park,0,3,0,
五一文化广场,Wuyi Culture Square,0,15,0,
女神广场,Great Goddess Square,0,25,0,
馨园,,0,3,0,
演武池遗址,Yanwuchi Relic Site,0,7,0,
鹭岛名山,Ludaoming Mountain,0,2,0,
演武公园,Yanwu Park,0,21,0,
帆礁宫,Fanjiaogong,0,0,0,
鹭江社区公园,Lujiang Community Park,0,16,0,
陈化成墓,Chenhuacheng Tomb,0,3,0,
庆福寺,Qingfusi,0,5,0,
嘉禾园,Jiahe Garden,0,26,0,
清真寺,Mosque,0,3,0,
朝天宫,Chaotian Palace,0,1,0,
厦门雪峰寺,Xiamen Xuefeng Temple,0,3,0,
顺济宫,Shunji Palace,0,0,0,
鸽子广场,Gezi Square,0,17,0,
劳动公园,Laodong Park,0,9,0,
城隍庙,Town God's Temple,0,9,0,
慈济圣宫,Ciji Shenggong （South Gate）,0,0,0,
池王宫,Chiwanggong,0,9,0,
拱莲古寺,Gonglian Naos （South Gate）,0,0,0,
芦山堂,,0,6,0,
东山古庙,Dongshan Ancient Temple,0,5,0,
同安古城墙,Tong'an Ancient City Wall,0,5,0,
葫芦山烈士陵园,Hulushan Martyrs’ Cemetery,0,3,0,
西山岩寺,Xishanyan Temple,0,0,0,
东岳行宫,Dongyue Palace,0,1,0,
宅内古榕公园,Zhainei Ancient Banian Park,0,3,0,
月美池公园,Yuemeichi Park,0,5,0,
西竺寺,Xizhu Temple,0,1,0,
大明寺,Daming Temple （East Gate）,0,0,0,
城隍庙,Town God's Temple,0,0,0,
铁炉宫,Tielugong,0,1,0,
饶美宫,Raomei Palace,0,1,0,
复兴宫,,0,0,0,
古榕公园,Gurong Park,0,5,0,
金嶝回归寺,Jindenghuigui Temple,0,1,0,
仙岳山福德正神庙,"Earth God Temple, Xianyue Mountain",0,13,0,
崇仙宫,Chongxian Palace,0,3,0,
宝海堂,Baohai Hall,0,0,0,
第一码头,Xiamen First Pier,0,39,0,
擁湖宫,Yonghu Palace,0,12,0,
福海宫,Fuhaigong,0,27,0,
蔡复一故居,Caifuyi Former Residence,0,2,0,
天竺岩寺,Tianzhuyan Temple,0,4,0,
双溪公园,Shuangxi Park,0,9,0,
牛头山,Niutou Mountain,0,8,0,
芸溪居住公园,Yunxijuzhu Park,0,2,0,
同安蝴蝶谷,Butterfly Valley,0,0,0,
筼筜内湖,YundangLake,0,27,0,
薛岭山公园,Xueling Mountain,0,18,0,
仙洞山,Xiandong Mountain,0,5,0,
乌营寨山,Wuyingzhai Mountain,0,0,0,
太清宫,Taiqing Palace,0,13,0,
松柏山,Songbai Mountain,0,5,0,
上李山,Shangli Mountain,0,1,0,
三秀山,Sanxiu Mountain,0,0,0,
芹山,Qin Mountain,0,0,0,
南堤公园,Nandi Park,0,7,0,
磨心山,Moxin Mountain,0,9,0,
妙清寺,Miaoqing Temple,0,2,0,
基督教,Xiamen New District Gospel Church,0,9,0,
后厝山,Houcuo Mountain,0,15,0,
鬼仔坑水库,Guizikeng Reservoir,0,0,0,
归来园,Homecoming Garden,0,11,0,
厦门东坪山,Xiamendongping Mountain,0,4,0,
东芳山,Dongfang Mountain,0,13,0,
大溪山,Daxi Mountain,0,0,0,
厦门市第二中学鼓浪屿校区,,0,27,0,
厦大一条街,Shadayitiao Street,0,40,0,
集美游览区,Jimei Tourist Area,0,30,0,
集美大学诚毅校区,,0,9,0,
观音山沙滩,Guanyin Mountain Beach,0,35,0,
莲花山,Fujianlianhua Mountain,0,7,0,
大学路,University Road,0,34,0,
海下隧道,,0,8,0,
海沧儿童公园蝴蝶生态园,Haicang Ertong Gongyuan Hudie Ecological Park,0,14,119,
老院子民俗文化风情园景区,Laoyuanzi Minsu Wenhua Fengqingyuan Sceneic Area,0,9,31,
筼筜书院,Yundang College,0,12,351,
24小时自助图书馆,,0,2,347,
少年儿童图书馆(东荣社区分馆),Xiamen Children's Library (Dongrong Community Branch),0,2,348,
苏颂文化广场,Susong Culture Square,0,0,365,
莲塘别墅,Lotus Pond Villa,1,2,289,
杰熙帆船游艇,,0,0,288,
新城市民广场,Xinchengshimin Square,0,6,357,
金街,Jimeijin Street,1,12,287,
桥·空间,Bridge · Space,0,3,360,
苏营皇帝井(皇渡庵),"Emperor Well (Huangdu Nunnery), Suying Village",0,2,363,
泰迪之家,,0,0,129,
腾邦欣欣旅游产业园,Tengbang Xinxin Tourism Industrial Park,0,0,364,
忠伦公园多肉植物馆,,0,28,148,
自贸公园,Zimao Park,0,1,217,
中华城 艺术空间,China Town Art Space,0,6,366,
老城微展馆,Old Town Micro Exhibition Hall,0,1,286,
福建省鼓浪屿馅饼食品文化博物馆,Fujian Gulangyu Pie Food Cultural Museum,0,29,368,
厦门美术馆(文化馆),Xiamen Art Gallery,0,2,285,
白鹭洲公园音乐广场,Bailuzhou Gongyuan Yinyue Square,2,22,370,
厦门儿童公园二期,Xiamen Children's Park Phase II,0,20,371,
开禾路口,Kaihe Intersection,3,16,284,
罗扬才烈士陵园,Cemetery of Martyr Luo Yangcai,0,1,372,
联发华美空间,Huamei Park,3,21,218,
陈嘉庚珍藏文物展,,0,8,373,
会展步行街,Huizhan Walking Street,0,9,374,
中岩寺,Zhongyan Temple,0,3,375,
出米岩,Chumiyan Stone Cavern,0,0,377,
华报书院,,0,0,378,
萤火虫之魔幻森林主题公园,Yinghuochong Zhi Mohuan Forest Theme Park,0,3,73,
回旋炮,,0,1,281,
津贺杨梅园,Jinhe Bayberry Garden,0,0,380,
厦门城遗址,Xiamencheng Ruins,0,5,187,
嘉庚文化广场,Jiageng Culture Square,0,9,383,
南普陀寺钟楼,"Bell Tower, South Putuo Temple",0,12,384,
圆海宫,Yuanhaigong,0,0,385,
许通海微雕博物馆,Xutonghai Weidiao Museum,0,0,387,
中山公园花展西院,"Flower Show West Courtyard, Zhongshan Park",0,8,388,
三官道院,Sanguan Daoyuan,0,0,280,
厦门大学鼓浪屿环岛路,"Huandao Road, Gulangyu Island, Xiamen University",0,50,65,
海洋三所鲸豚展馆,"Whale and Dolphin Pavilion, Third Institute of Oceanography",0,1,99,
海韵台海滩,Haiyuntai Beach,0,5,391,
火炬公园,Huoju Park,0,13,392,
美仁园,Meiren Garden,0,9,393,
中华白海豚雕像,Statue of Chinese White Dolphin,0,2,394,
厦门国际动漫展,,0,8,395,
宝荣通美术馆,Baorongtong Gallery,0,0,396,
彩虹沙滩,Rainbow Beach,0,2,397,
侏罗纪活体恐龙展,,0,4,186,
香草园,Vanilla Herb Garden,0,14,400,
寨遗址,Zhai Ruins,0,3,402,
南尾井,Nanweijing Village,0,0,279,
风景湖公园,Fengjinghu Park,0,5,403,
扬帆公园,Yangfan Park,1,1,404,
